Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	5	6	6	6	5	5	6	5	7	7	6	6	7	7	7	6	
2	7	6	6	5	6	6	6	6	6	6	6	5	7	7	6	6	
3	4	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	
4	8	9	9	9	9	8	8	8	9	9	9	9	10	10	10	9	
5	4	4	4	4	5	5	4	4	6	6	7	7	8	8	8	7	
6	9	9	8	8	7	6	6	7	7	7	8	7	7	5	5	5	
7	3	3	3	3	4	4	4	3	5	5	6	5	4	4	4	4	
8	9	8	8	7	9	9	9	9	9	7	7	7	7	8	8	7	
9	7	8	7	7	5	5	5	5	8	9	9	8	8	8	8	8	
10	8	8	9	10	8	8	7	7	6	5	6	7	8	8	9	8	
11	4	5	5	5	5	5	5	6	8	7	6	6	7	7	8	8	
12	7	7	7	5	7	7	6	7	8	8	6	6	7	7	7	8	
13	8	9	9	8	10	10	9	9	8	8	8	7	8	8	8	9	
14	7	8	8	8	7	7	7	7	6	5	6	5	7	7	7	6	
15	11	11	10	8	8	8	6	8	10	10	8	9	9	9	9	8	
16	9	9	9	10	10	9	8	8	9	9	8	7	8	7	7	7	
17	7	7	6	5	5	5	5	5	8	8	8	7	8	7	7	8	
18	8	9	9	8	11	11	8	9	9	8	8	8	8	7	6	5	
19	8	9	8	9	9	8	7	7	8	7	7	8	9	9	9	9	
20	7	8	8	8	8	8	8	8	9	9	7	7	6	6	6	8	
21	7	6	6	6	6	6	7	7	5	5	5	5	6	6	6	5	
22	8	8	8	8	8	7	7	7	8	7	7	7	8	6	6	6	
23	10	11	11	9	10	9	8	9	9	9	8	9	10	10	8	8	
24	10	11	11	9	10	10	9	9	9	9	10	9	11	11	10	9	
25	8	10	10	9	9	9	8	8	9	9	9	9	10	10	9	8	
26	5	6	6	5	8	8	7	6	7	7	7	6	7	6	6	7	
27	11	12	11	9	9	8	7	8	10	9	8	9	9	8	7	6	
28	8	10	10	10	11	9	10	10	9	10	8	7	8	8	7	7	
29	3	8	8	6	6	6	5	5	7	7	7	7	7	5	5	5	
30	7	8	8	9	9	8	7	7	8	8	7	7	7	7	7	6	
31	9	13	13	10	10	10	8	7	9	9	9	7	7	9	9	9	
32	8	7	7	7	7	7	7	10	8	7	8	8	8	8	8	8	
33	8	9	8	9	10	9	8	8	9	9	10	11	11	11	9	10	
34	8	9	9	10	11	10	9	9	8	8	9	11	10	9	9	8	
35	9	9	9	6	7	7	7	7	8	8	7	8	9	9	9	11	
36	8	9	9	9	11	11	10	10	11	11	9	9	9	9	7	8	
37	8	8	8	8	9	8	8	7	9	9	9	8	9	10	9	9	
38	12	12	11	12	11	11	11	11	12	12	12	11	10	11	11	11	
39	9	10	10	10	10	9	9	9	9	9	8	8	9	10	9	9	
40	7	7	7	7	7	7	7	8	6	6	6	7	8	9	8	7	
41	8	8	7	6	7	7	7	6	8	8	8	8	8	8	9	8	
