Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
1	2030.8407	1157.9886	2318.6433	1745.0756	1136.7045	1624.5629	2624.507	2305.1614	1415.3955	2030.9171	2203.2563	1496.0963	1241.0005	1952.1113	3526.7754	2027.3802	
2	1616.3591	741.73645	4085.3555	1695.2998	1749.7125	1649.4738	2830.7734	2200.79	1476.2296	1536.7515	2235.5044	1541.1368	2190.802	1345.2017	2392.9956	1691.3936	
3	2340.861	925.47296	7193.965	990.0081	1020.51025	1976.0808	3088.4363	2021.7993	869.9467	3651.7808	3380.519	1320.5297	900.3949	2356.6304	2743.5125	1667.3539	
4	1729.6588	1387.7539	3592.0928	1299.6194	2496.7393	1862.0247	2513.7083	1505.5256	2017.0715	1682.3147	2595.0112	1577.0603	1511.3479	2338.8323	1701.3722	1103.8954	
5	1025.4557	1082.6636	3452.466	1534.5571	1761.6147	1271.4304	3548.1736	1542.9379	836.55023	1399.0576	3000.5151	1264.5144	1497.5851	1547.502	3107.6833	1343.9673	
6	1293.1549	1673.4978	2472.8657	1380.0548	2407.0854	1322.4131	2730.4353	1820.119	1461.0736	1950.5961	2305.3232	2132.4668	1586.8943	2583.7673	2224.0364	1670.3997	
7	2493.0244	669.19165	6385.753	1658.0856	1753.0042	1440.9612	2077.429	967.4892	1560.0259	2494.043	1903.33	923.4035	1264.6583	3569.0305	2433.7168	2297.4114	
8	1266.6115	1388.4369	3736.1272	1589.4592	1682.9523	2184.1375	3289.3237	1373.5586	1248.5475	2282.3445	2754.5757	1446.4519	2503.3857	1951.4663	2362.4421	1285.7344	
9	1677.4025	1772.6661	2618.436	1468.2742	2710.886	1636.2626	2092.6218	1718.8625	3131.7773	1760.0526	1734.0302	1762.5605	1987.4943	1078.4142	2167.7097	2121.9504	
10	2222.8242	975.48456	2665.623	1776.1973	1485.6991	1327.9767	2711.3582	2050.0664	1627.088	1446.4878	2367.614	1932.6528	2009.5403	1769.9081	2404.491	1721.6053	
11	2238.3271	1138.3314	3993.415	1493.9778	3833.2139	962.762	2265.7654	2213.437	1571.4813	1967.4734	2636.6265	2212.8716	1924.047	1785.6313	2310.6604	2039.638	
12	1778.3341	936.0865	4311.548	1662.336	1725.8643	1873.703	2508.2595	1834.5095	2353.7534	1881.6774	1600.8989	2335.2285	2169.3867	1221.4661	3008.036	1705.0015	
13	2120.085	834.0017	2529.526	1897.286	2063.3704	1754.7959	2336.545	2393.743	2144.715	1549.5938	2632.0508	1900.9263	1647.9077	1979.2747	2096.8716	1801.6743	
14	1079.1608	1304.7014	4105.4067	1162.5968	2718.4167	1311.295	2913.8608	1346.1613	976.5652	2038.5114	2311.1082	1634.2648	1767.7408	1366.0002	2656.4204	1832.0558	
15	1234.3188	2187.7036	3818.5515	1313.9706	1279.0891	2287.9766	2766.673	1269.3191	1642.6434	2504.546	2399.7961	1363.6481	1874.7144	2759.3093	2170.1545	1170.6934	
16	2189.9	1457.1732	5245.5054	1051.352	1728.2083	2193.4329	1700.1075	1688.7363	1406.683	2327.6643	1786.5763	1580.5361	1566.0815	1882.2682	1548.9534	1609.6654	
17	835.0721	1520.207	3247.0188	1427.7839	1770.1245	1622.363	3281.2905	1070.321	1951.3969	1444.099	2524.4338	1042.0662	918.1412	3737.0823	2557.609	811.5124	
18	1198.6685	974.40735	2886.5469	1827.0647	2316.104	2537.7354	2466.6338	1901.6807	2406.4165	1847.7725	1836.4413	2012.8779	1841.459	1471.3751	2039.725	1698.6598	
19	1501.5979	1312.4121	2633.6885	1602.1481	2031.8756	1990.2986	2611.5767	1794.6957	2013.467	1753.2388	2096.4946	1744.8949	2527.1392	1771.9183	1892.85	1892.8217	
20	1509.2809	1137.3706	3021.067	1546.1843	1172.3844	1085.8768	3012.985	1806.824	1302.6932	1307.6083	2581.492	1824.3585	1788.5125	1422.2542	2587.971	2287.532	
21	1786.9037	1190.0654	2885.2065	1501.4209	2035.7631	1758.7012	2415.6702	2016.1987	1299.7026	1674.9495	2569.45	1812.3466	1065.6151	1602.1569	1903.7897	1746.4945	
22	2018.2572	1177.0549	2896.0925	1360.5321	3234.577	1950.1364	2432.3538	2015.7787	1199.0363	2665.2175	2219.0132	1935.6903	2391.556	1417.4664	2197.19	2210.9998	
23	1584.5942	1458.3063	3182.5833	1539.6443	1981.6442	2270.8103	2725.87	1866.0072	1633.5095	1998.6332	2412.9382	1501.132	2032.3307	1852.1909	2033.153	1765.8661	
24	1892.3834	1299.8164	3721.9255	1700.5948	1360.0562	2456.0886	2808.5613	1529.1532	1527.7712	1611.5442	2513.9902	1435.315	1849.2352	1463.468	2575.727	1894.387	
25	1748.1438	1771.2308	3880.7974	1502.3619	2613.9465	1696.5686	1880.5969	2411.8176	1680.2202	1793.5253	2647.2756	2155.0986	2045.2047	1386.9288	2343.5884	1627.5901	
26	1903.1967	885.3016	3275.686	1607.7805	1255.5813	1596.8113	2816.0303	2019.8983	1322.8184	2302.9324	2647.1458	1365.8994	862.41815	2245.254	2132.4219	1765.4528	
27	1735.014	1662.9374	3914.0928	1339.1007	2514.7166	3336.7615	2664.051	1408.8625	2225.2708	1863.1906	2457.8584	1405.9321	1950.5819	2140.4656	2482.1418	1077.6989	
28	1414.2765	1244.6853	3288.631	1986.4221	1789.6942	1827.3647	3097.5398	2522.559	2158.6118	1337.2742	2486.6692	2248.5342	1221.7816	1018.25977	2461.6262	2016.9801	
29	2788.9592	453.1601	2320.8628	1981.246	1404.9713	1667.81	1924.731	2624.1003	1312.4264	2380.8064	1920.5214	1823.5616	1280.0413	1505.5679	1758.7201	1862.1938	
30	1442.7412	1509.4294	3495.9377	988.3459	5057.0586	1913.4624	2750.788	1778.365	767.0334	4388.3315	2176.44	1229.7817	1677.7853	1763.0591	1861.3475	2238.4678	
31	2253.5647	1320.0062	3131.387	1419.3854	1684.9269	2387.5776	2184.1343	2058.0808	2055.644	2365.2239	1803.7216	1562.965	2051.686	1603.6757	2293.8794	1797.9952	
32	1470.8865	1316.741	3562.2273	1689.6068	2213.8367	1508.9974	2869.1711	1470.3204	1131.5332	2885.7139	2555.702	1832.5787	3025.3123	1987.8496	2677.3862	2891.74	
33	1381.3083	1047.0121	3790.5168	1566.0986	1519.0304	2048.019	2940.67	1221.4908	1729.9567	1774.4242	2550.762	1655.8674	1304.9473	2238.5066	2573.8328	1508.7494	
