Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
1	5	5	5	5	8	8	8	7	7	6	6	7	6	6	6	5	
2	5	6	6	5	5	5	5	6	5	5	5	6	6	6	6	6	
3	5	4	4	3	3	3	3	2	3	3	3	3	4	5	5	4	
4	9	10	10	8	7	7	7	9	9	8	9	9	10	10	9	10	
5	4	4	4	4	5	5	5	5	8	8	8	8	7	7	7	6	
6	8	8	8	7	7	7	7	7	9	9	8	7	9	9	8	9	
7	3	3	3	3	4	4	4	3	3	3	3	3	4	4	4	5	
8	8	7	7	7	8	7	7	9	10	8	8	8	9	9	9	8	
9	9	8	8	8	8	7	7	9	9	8	7	7	9	9	9	8	
10	9	8	7	6	8	8	8	7	8	8	6	6	7	7	8	8	
11	6	7	7	5	6	6	6	6	6	6	6	6	8	9	8	8	
12	9	9	10	8	9	9	8	9	8	8	9	8	10	10	9	9	
13	9	10	9	9	10	8	8	7	7	6	6	6	8	8	7	8	
14	6	7	7	5	5	5	5	7	8	8	8	7	7	6	6	6	
15	9	10	9	9	9	10	9	9	10	9	10	11	10	9	8	9	
16	8	11	11	10	10	10	9	10	8	7	7	8	9	9	8	8	
17	7	7	7	6	6	5	5	6	8	8	8	7	8	7	7	6	
18	8	8	8	7	9	9	7	7	8	9	8	8	8	9	8	8	
19	8	10	10	8	8	7	7	7	8	8	8	7	8	8	8	7	
20	4	4	4	5	6	6	5	5	7	7	6	6	7	7	7	7	
21	7	7	7	5	5	5	5	5	6	6	6	7	8	8	7	7	
22	8	10	10	8	10	10	9	8	8	8	8	9	10	9	9	8	
23	9	10	10	9	9	9	8	9	9	9	8	10	10	10	9	9	
24	9	11	11	9	11	10	10	10	9	8	9	8	10	9	9	10	
25	9	10	10	9	10	9	10	9	11	11	9	7	6	7	7	8	
26	5	6	6	5	8	8	7	7	9	9	9	8	9	8	7	8	
27	8	9	9	8	8	7	6	6	10	10	9	9	9	8	8	7	
28	10	11	10	11	11	11	11	11	9	8	8	8	10	11	11	10	
29	3	9	9	8	7	5	5	5	5	5	5	5	5	5	5	5	
30	7	8	8	7	7	6	6	6	6	6	6	6	6	5	6	7	
31	9	10	11	9	10	9	9	9	8	8	8	9	10	9	9	9	
32	9	10	10	8	7	6	6	7	7	7	9	9	8	7	7	6	
33	8	9	8	8	9	9	8	7	9	9	10	9	10	10	10	7	
34	9	10	10	9	9	8	9	8	10	10	9	8	10	9	9	8	
35	11	10	9	9	9	8	9	9	8	8	7	7	8	10	10	9	
36	10	9	8	8	9	8	8	7	9	9	9	9	10	9	10	8	
37	9	9	10	9	10	10	10	9	10	9	8	9	9	8	8	6	
38	12	12	12	12	12	12	10	11	11	11	10	11	11	12	11	11	
39	11	12	11	11	10	9	9	9	11	10	7	7	9	8	8	6	
40	7	7	7	6	6	6	5	6	8	8	8	6	5	5	4	4	
41	7	10	10	8	7	7	7	7	9	9	9	10	10	9	8	8	
