Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
1	1725.0073	645.0126	5320.05	2492.6587	1181.6781	2997.7224	3218.271	1522.9756	984.53796	1276.6963	2706.9888	1729.3179	2010.2906	2581.1406	3095.7961	1556.2603	
2	1690.2672	782.6424	2357.6765	2061.69	1170.8079	1568.7968	2546.7773	2043.184	1335.8326	1744.4879	2020.164	2523.4785	1502.3085	2293.099	2021.4768	1984.8711	
3	2380.8806	1229.0947	2303.135	1527.2703	1131.9178	1422.8645	2018.3087	1657.7229	974.25574	1214.8817	1727.1741	1761.0131	1156.1857	1273.7596	2301.6748	2354.337	
4	1482.2999	1176.1274	3135.3328	1567.6625	1289.2603	1946.2924	2956.494	1421.5707	2298.1763	2278.1106	2159.8616	2801.6711	1945.4888	1507.652	2656.197	2050.8064	
5	1411.995	1405.4332	3354.6892	1321.7592	2377.4602	1469.6526	3047.909	1377.0618	1072.409	1621.2379	2660.3792	1446.7108	1052.1437	2774.537	3699.7444	933.2135	
6	1548.8401	1466.8717	2744.901	1149.1912	1937.9546	1747.2777	2313.5452	1907.8429	1818.403	3009.721	2342.731	1635.499	1615.6603	2179.1875	2384.067	2267.5068	
7	2493.0244	823.7526	2539.97	2048.644	1044.8903	1382.193	2325.1338	1881.9875	1006.6415	1414.1772	1594.9316	1565.8894	945.09973	3081.6738	4411.848	1912.5128	
8	1506.9878	1232.3247	3064.242	1370.9263	2236.9858	1508.1932	2544.086	1288.8885	2814.789	1192.2407	2316.6514	1785.6327	1132.9186	2286.4783	2207.2896	1887.3782	
9	1816.5167	1082.6185	2671.1401	1642.0142	1713.1451	2560.5684	2976.6	1764.4165	2205.9426	1298.1251	2265.2517	1687.0767	1385.1305	1351.4879	3071.479	1626.3842	
10	2202.8484	1063.8859	2592.7292	1773.48	1259.3517	1728.7769	2885.5613	1685.4669	1175.1757	1989.0663	2283.091	1455.8116	1720.8008	1338.6606	2744.6763	1894.5728	
11	2116.3125	1395.1105	2914.5498	1584.8009	867.741	1679.7529	2825.114	1842.4524	1411.0305	1721.7118	1932.606	1348.4458	1721.2046	2190.2983	2594.7014	1357.1034	
12	2025.5651	1169.0753	3529.5493	1851.0581	1904.0972	2193.8945	2088.2415	1998.8014	1977.9674	1609.1877	2447.3633	2258.8481	1928.5974	1878.9222	1821.6345	1695.2468	
13	2050.2175	1280.7344	3493.8975	1845.8488	2126.6316	1957.4965	2538.5776	1585.0079	2029.72	1467.6937	2712.926	2440.4578	1689.7167	1718.4614	2433.5825	1818.2007	
14	872.83075	1391.0392	2553.0383	1820.0139	1250.2971	2089.6633	2881.2349	1574.9758	1659.917	3132.5867	1730.1888	4323.8374	3121.9744	1975.7423	2441.947	1348.7389	
15	1270.5499	2169.8728	3702.1123	1416.0137	2367.8025	1776.8687	2500.7065	2351.6711	1632.5859	1907.6946	2263.1777	1897.0833	2271.9502	1583.0865	2455.2456	2092.348	
16	2108.8704	1281.311	3514.0447	1658.858	2207.431	2277.685	2457.5017	2437.0955	1695.4893	1464.8438	2810.7502	2012.4567	1254.7133	2560.742	1978.9878	1730.8494	
17	864.91797	1066.5607	2973.6685	1565.1932	2443.8564	1612.9883	3015.8943	1813.738	1623.0966	1942.3525	1870.2229	1775.0612	1257.7644	1567.0492	2451.723	1775.6714	
18	1253.91	1546.3153	2648.3413	1359.9834	1643.9299	1827.1504	2562.0806	1423.0094	1944.6631	1881.6693	2152.8628	1591.4674	1260.7151	1510.9192	2601.8418	1850.117	
19	1599.3854	1819.2717	3174.583	1520.4327	2484.9617	1535.325	2652.5393	1824.5219	1064.443	1792.818	2406.99	1874.0499	1489.898	1731.7424	2970.138	1989.1324	
20	1369.5669	2406.748	3433.9106	1492.6774	2268.0747	1393.5117	2643.1282	2078.0635	1216.5648	2387.4026	2493.3704	1735.3138	1891.0868	1919.8365	2065.5742	1502.219	
21	1404.564	1604.2166	2797.518	2173.0696	1723.5367	1828.1763	2739.8813	1990.0905	2010.819	1922.531	1950.6613	1517.7423	2107.7786	1885.6711	2001.625	1754.1826	
22	2091.6382	1315.5092	2957.0774	1150.7079	1321.6708	2050.201	2710.823	1702.8912	2028.4645	1827.9663	2354.7227	1864.3005	1926.2462	1815.4618	3008.5579	1760.7152	
23	1306.7784	1483.7784	3922.168	1844.8525	1622.9187	2327.334	2937.4648	1944.4991	1439.0151	2005.4287	2753.6663	1624.662	2108.3586	3200.9976	1950.6359	2268.3086	
24	1960.0333	1408.792	2898.656	1556.9128	2021.3739	1536.4462	2802.3813	2050.8518	1629.5	1957.9023	2635.6514	2012.775	1723.1179	1270.6677	2740.3254	1753.2583	
25	1685.3383	1507.7637	2835.8054	1406.1038	1402.9012	2145.2778	2614.1384	1965.9098	1631.688	3064.044	2122.2974	1526.7534	1472.7598	2021.497	2270.8398	1882.7535	
26	1883.0673	859.9565	2815.6216	1781.3492	1747.1934	2109.7668	2895.455	2021.703	1452.333	1571.1266	2972.0408	1428.4453	3535.5557	1891.3654	2193.474	1460.8251	
27	1503.0916	1426.0999	3271.432	1470.4182	2872.1436	1484.6714	2790.1917	1515.7451	1251.8002	2731.3896	2759.7244	1400.5375	2932.891	1814.6821	2643.3386	2237.7466	
28	1421.3363	1755.8333	4045.6438	1810.7523	2480.6638	2278.4326	3314.3643	1229.405	1768.0431	2155.8193	2095.017	1945.1682	2046.5304	2317.435	2521.7092	1573.6298	
29	3077.1516	844.89185	1955.9194	1907.191	2960.1829	1419.7432	1404.136	3032.0957	1796.1125	2177.1606	2089.1472	2593.097	2049.0645	1460.9669	1794.7009	2181.4316	
30	1335.078	2784.323	2712.791	1201.7535	3157.375	1643.1943	2559.4102	2461.4077	1540.0376	1879.7496	2097.4885	2146.7434	1356.3744	1551.7853	2283.7834	1574.0872	
31	2064.774	908.1982	2727.7896	1816.5383	2134.6052	2101.1794	2412.0706	2422.2996	2630.5547	3023.5525	1611.213	3148.1711	1803.4979	1029.5958	2030.171	2764.476	
32	1406.1161	1389.4722	2945.447	1412.8204	1504.9933	1711.7349	2750.37	1738.7268	1739.5414	2515.9023	2460.6267	2287.7507	1575.8048	1618.163	2532.497	1694.617	
33	1408.6785	902.7402	3127.3665	1781.6091	1128.558	2254.0957	3123.337	1547.2318	1469.5134	2596.0625	2379.2012	1546.6719	1584.5828	2033.9429	2427.4885	1595.5789	
